Dataset,P90_Low_Ceiling,P97_Elevated_Ceiling,P99_5_Critical_Floor,P50_Median,Mean_Score,Max_Score,Top1_Capture_Recall,Top3_Capture_Recall
IBM Transactions,0.0000184,0.001904,0.023089,0.0000086,0.000436,0.581818,75.00%,75.00%
SAML-D,0.020577,0.287786,0.817452,0.000198,0.025693,0.999448,N/A,N/A
Elliptic Bitcoin,0.038339,1.000000,1.000000,0.005219,0.086218,1.000000,N/A,N/A
Time-Series AML,0.954573,0.997464,0.999350,0.004897,0.158200,0.999800,N/A,N/A
IBM AMLSim,0.117000,0.306000,0.584000,0.028400,0.057100,0.984000,N/A,N/A
